iter	Passed	Remaining
432	1542	2019
433	1545	2015
434	1548	2011
435	1551	2007
436	1554	2002
437	1558	1999
438	1561	1994
439	1565	1992
440	1568	1988
441	1572	1984
442	1575	1981
443	1580	1979
444	1583	1975
445	1586	1970
446	1591	1968
447	1594	1964
448	1597	1960
449	1599	1955
450	1602	1950
451	1606	1947
452	1608	1942
453	1612	1939
454	1615	1935
455	1620	1933
456	1623	1928
457	1627	1925
458	1629	1920
459	1633	1917
460	1637	1914
461	1639	1909
462	1644	1907
463	1646	1902
464	1651	1900
465	1655	1896
466	1659	1894
467	1662	1889
468	1665	1885
469	1668	1881
470	1671	1876
471	1674	1873
472	1677	1869
473	1680	1865
474	1684	1861
475	1686	1856
476	1691	1854
477	1693	1849
478	1699	1848
479	1702	1844
480	1707	1841
481	1710	1837
482	1715	1836
483	1718	1831
484	1721	1828
485	1724	1823
486	1726	1818
487	1730	1815
488	1732	1810
489	1736	1807
490	1739	1803
491	1741	1798
492	1745	1795
493	1748	1790
494	1753	1789
495	1756	1784
496	1761	1782
497	1764	1778
498	1767	1774
499	1770	1770
500	1772	1765
501	1777	1762
502	1782	1761
503	1785	1757
504	1788	1753
505	1791	1749
506	1794	1744
507	1799	1742
508	1802	1738
509	1805	1734
510	1808	1730
511	1813	1728
512	1816	1724
513	1821	1722
514	1824	1718
515	1830	1717
516	1833	1712
517	1836	1708
518	1839	1704
519	1843	1701
520	1847	1698
521	1849	1693
522	1853	1690
523	1856	1686
524	1859	1682
525	1862	1678
526	1865	1674
527	1868	1670
528	1870	1665
529	1873	1661
530	1876	1657
531	1879	1653
532	1882	1649
533	1885	1645
534	1888	1641
535	1891	1637
536	1894	1633
537	1899	1630
538	1901	1626
539	1905	1623
540	1908	1619
541	1911	1615
542	1914	1611
543	1917	1607
544	1920	1603
545	1924	1600
546	1928	1597
547	1931	1593
548	1934	1588
549	1938	1585
550	1940	1581
551	1944	1578
552	1947	1574
553	1950	1570
554	1954	1567
555	1956	1562
556	1959	1558
557	1962	1554
558	1965	1550
559	1968	1546
560	1971	1542
561	1975	1539
562	1978	1535
563	1981	1531
564	1984	1528
565	1987	1524
566	1991	1520
567	1994	1516
568	1997	1513
569	2000	1509
570	2003	1505
571	2006	1501
572	2009	1497
573	2011	1493
574	2015	1489
575	2017	1485
576	2021	1482
577	2024	1478
578	2030	1476
579	2032	1472
580	2036	1468
581	2040	1465
582	2044	1462
583	2047	1458
584	2049	1454
585	2053	1450
586	2056	1446
587	2061	1444
588	2064	1440
589	2067	1436
590	2070	1433
591	2073	1428
592	2077	1425
593	2079	1421
594	2082	1417
595	2085	1413
596	2088	1409
597	2092	1406
598	2095	1402
599	2101	1400
600	2104	1396
601	2108	1393
602	2110	1389
603	2115	1387
604	2118	1383
605	2121	1379
606	2124	1375
607	2127	1371
608	2131	1368
609	2134	1364
610	2137	1360
611	2140	1357
612	2143	1353
613	2146	1349
614	2149	1345
615	2152	1342
616	2156	1338
617	2161	1336
618	2164	1332
619	2168	1329
620	2171	1325
621	2173	1321
622	2177	1317
623	2180	1313
624	2183	1310
625	2186	1306
626	2188	1302
627	2192	1298
628	2195	1294
629	2198	1290
630	2201	1287
631	2204	1283
632	2207	1279
633	2210	1275
634	2215	1273
635	2218	1269
636	2224	1267
637	2226	1263
638	2230	1259
639	2233	1256
640	2236	1252
641	2239	1248
642	2242	1245
643	2245	1241
644	2249	1238
645	2253	1234
646	2256	1231
647	2259	1227
648	2262	1223
649	2265	1219
650	2269	1216
651	2272	1212
652	2275	1209
653	2278	1205
654	2281	1201
655	2285	1198
656	2287	1194
657	2293	1191
658	2295	1187
659	2298	1184
660	2302	1180
661	2304	1176
662	2309	1174
663	2312	1170
664	2316	1166
665	2319	1163
666	2324	1160
667	2327	1156
668	2333	1154
669	2335	1150
670	2338	1146
671	2341	1143
672	2344	1139
673	2348	1136
674	2351	1132
675	2356	1129
676	2359	1125
677	2364	1123
678	2367	1119
679	2371	1116
680	2374	1112
681	2377	1108
682	2381	1105
683	2384	1101
684	2388	1098
685	2390	1094
686	2396	1091
687	2398	1087
688	2404	1085
689	2406	1081
690	2409	1077
691	2412	1073
692	2414	1069
693	2418	1066
694	2421	1062
695	2424	1058
696	2427	1055
697	2429	1051
698	2433	1048
699	2436	1044
700	2441	1041
701	2443	1037
702	2447	1033
703	2450	1030
704	2453	1026
705	2457	1023
706	2460	1019
707	2463	1016
708	2466	1012
709	2469	1008
710	2473	1005
711	2475	1001
712	2478	997
713	2482	994
714	2484	990
715	2487	986
716	2490	982
717	2493	979
718	2497	975
719	2500	972
720	2503	968
